File;Header parsing;Decoding
alice29.txt.tiiv;958557;19918345
alice29.txt.tiiv;112142;13478301
alice29.txt.tiiv;107076;6693864
alice29.txt.tiiv;74411;6535875
alice29.txt.tiiv;44364;10167183
alice29.txt.tiiv;35350;6494259
alice29.txt.tiiv;41340;7071736
alice29.txt.tiiv;56236;6968239
alice29.txt.tiiv;38775;6412956
alice29.txt.tiiv;33866;6416204
alice29.txt.tiiv;31964;5919228
alice29.txt.tiiv;41394;6096258
alice29.txt.tiiv;43220;6337980
alice29.txt.tiiv;34373;6102120
alice29.txt.tiiv;32244;6119267
alice29.txt.tiiv;36291;6685677
alice29.txt.tiiv;39706;6120344
alice29.txt.tiiv;36357;6941773
alice29.txt.tiiv;35235;6346984
alice29.txt.tiiv;43059;6093513
asyoulik.txt.tiiv;30831;4838531
asyoulik.txt.tiiv;30216;5642882
asyoulik.txt.tiiv;34741;4844807
asyoulik.txt.tiiv;60559;5430227
asyoulik.txt.tiiv;38289;5267337
asyoulik.txt.tiiv;51514;6402776
asyoulik.txt.tiiv;43237;4840270
asyoulik.txt.tiiv;23658;4837712
asyoulik.txt.tiiv;24115;5307384
asyoulik.txt.tiiv;27742;5262431
asyoulik.txt.tiiv;37436;4829935
asyoulik.txt.tiiv;51281;5047985
asyoulik.txt.tiiv;34189;4834419
asyoulik.txt.tiiv;28510;6345743
asyoulik.txt.tiiv;23603;4840820
asyoulik.txt.tiiv;23717;5245854
asyoulik.txt.tiiv;25912;4896931
asyoulik.txt.tiiv;39001;6373404
asyoulik.txt.tiiv;27958;5596778
asyoulik.txt.tiiv;37898;5393166
bible.txt.tiiv;545500;163227619
bible.txt.tiiv;594095;205075314
bible.txt.tiiv;756754;158093239
bible.txt.tiiv;598772;146175134
bible.txt.tiiv;601766;148959544
bible.txt.tiiv;749707;163236180
bible.txt.tiiv;1090013;189683397
bible.txt.tiiv;595280;173420982
bible.txt.tiiv;637418;166487908
bible.txt.tiiv;618615;171532166
bible.txt.tiiv;735144;163222428
bible.txt.tiiv;622180;153860851
bible.txt.tiiv;690814;165690790
bible.txt.tiiv;711635;220460659
bible.txt.tiiv;738109;169965879
bible.txt.tiiv;969639;174308715
bible.txt.tiiv;876806;164464526
bible.txt.tiiv;645011;165358709
bible.txt.tiiv;625772;173591494
bible.txt.tiiv;609848;172474840
cp.html.tiiv;62318;1724556
cp.html.tiiv;17572;1057245
cp.html.tiiv;23502;1144438
cp.html.tiiv;31144;2146483
cp.html.tiiv;17748;972093
cp.html.tiiv;18415;994511
cp.html.tiiv;22052;975109
cp.html.tiiv;30627;1582554
cp.html.tiiv;38590;1610062
cp.html.tiiv;17993;1058018
cp.html.tiiv;17370;1060556
cp.html.tiiv;297644;12354727
cp.html.tiiv;27711;2146904
cp.html.tiiv;18085;1322850
cp.html.tiiv;27191;1301603
cp.html.tiiv;25723;1560270
cp.html.tiiv;18260;2077875
cp.html.tiiv;17596;1730222
cp.html.tiiv;27653;2949560
cp.html.tiiv;18760;3655280
E.coli.tiiv;769557;224439343
E.coli.tiiv;471638;176353163
E.coli.tiiv;324570;198797069
E.coli.tiiv;279865;115998638
E.coli.tiiv;290396;96057635
E.coli.tiiv;619498;122062713
E.coli.tiiv;513764;107270285
E.coli.tiiv;349393;98556828
E.coli.tiiv;289791;98492083
E.coli.tiiv;388267;104613337
E.coli.tiiv;457557;105891746
E.coli.tiiv;528414;107833444
E.coli.tiiv;330666;101251500
E.coli.tiiv;448272;124636597
E.coli.tiiv;800604;101378374
E.coli.tiiv;406092;99606243
E.coli.tiiv;508114;118052406
E.coli.tiiv;706587;99931748
E.coli.tiiv;335426;105307575
E.coli.tiiv;355982;104261762
fields.c.tiiv;27152;572950
fields.c.tiiv;15335;430663
fields.c.tiiv;16841;448745
fields.c.tiiv;14923;432055
fields.c.tiiv;15194;432445
fields.c.tiiv;16546;631394
fields.c.tiiv;17038;466855
fields.c.tiiv;15040;580965
fields.c.tiiv;17566;489877
fields.c.tiiv;16006;876125
fields.c.tiiv;17372;584434
fields.c.tiiv;26691;780227
fields.c.tiiv;27447;786997
fields.c.tiiv;28181;833504
fields.c.tiiv;18768;816439
fields.c.tiiv;24810;767457
fields.c.tiiv;17842;472819
fields.c.tiiv;34346;948362
fields.c.tiiv;26386;805485
fields.c.tiiv;25677;816819
grammar.lsp.tiiv;41372;214234
grammar.lsp.tiiv;23269;254184
grammar.lsp.tiiv;20734;242159
grammar.lsp.tiiv;56195;227030
grammar.lsp.tiiv;20916;239500
grammar.lsp.tiiv;22263;271887
grammar.lsp.tiiv;16984;181452
grammar.lsp.tiiv;18865;147916
grammar.lsp.tiiv;22831;271016
grammar.lsp.tiiv;14515;147422
grammar.lsp.tiiv;45273;229421
grammar.lsp.tiiv;15443;146932
grammar.lsp.tiiv;16041;136074
grammar.lsp.tiiv;24216;241441
grammar.lsp.tiiv;13351;135791
grammar.lsp.tiiv;23891;156433
grammar.lsp.tiiv;13120;136231
grammar.lsp.tiiv;12655;136727
grammar.lsp.tiiv;14778;151563
grammar.lsp.tiiv;13482;136393
kennedy.xls.tiiv;105833;26555912
kennedy.xls.tiiv;101869;25541560
kennedy.xls.tiiv;110460;34215748
kennedy.xls.tiiv;112284;27867569
kennedy.xls.tiiv;110753;25633505
kennedy.xls.tiiv;128902;32927946
kennedy.xls.tiiv;101829;26169889
kennedy.xls.tiiv;168723;28843697
kennedy.xls.tiiv;101842;25515702
kennedy.xls.tiiv;101917;26825345
kennedy.xls.tiiv;127381;26214348
kennedy.xls.tiiv;111910;31264524
kennedy.xls.tiiv;102732;27162590
kennedy.xls.tiiv;101135;29631290
kennedy.xls.tiiv;122939;27038109
kennedy.xls.tiiv;101714;31192325
kennedy.xls.tiiv;101505;26471366
