File;Huffman Encoding Calculation;Encoding;Counting Characters;File size before;File size after;Distinct characters
alice29.txt;2783813;22428147;6222770;152089;87793;74
alice29.txt;232709;10230428;359585;152089;87793;74
alice29.txt;124227;7889165;174066;152089;87793;74
alice29.txt;164437;6762805;150574;152089;87793;74
alice29.txt;168176;8816152;222187;152089;87793;74
alice29.txt;168660;7449620;253602;152089;87793;74
alice29.txt;98195;8213979;149995;152089;87793;74
alice29.txt;135654;7151315;150144;152089;87793;74
alice29.txt;171479;9177732;357233;152089;87793;74
alice29.txt;66067;7596545;162075;152089;87793;74
alice29.txt;61547;7320643;163384;152089;87793;74
alice29.txt;57407;6571589;151275;152089;87793;74
alice29.txt;62566;8528069;163974;152089;87793;74
alice29.txt;61900;7689527;161612;152089;87793;74
alice29.txt;56525;6532964;150417;152089;87793;74
alice29.txt;59635;7167839;150236;152089;87793;74
alice29.txt;59283;9350443;150607;152089;87793;74
alice29.txt;56005;6620389;150390;152089;87793;74
alice29.txt;61173;6684715;151462;152089;87793;74
alice29.txt;60318;6546512;163274;152089;87793;74
asyoulik.txt;73130;6000103;164298;125179;75904;68
asyoulik.txt;65419;5495632;132637;125179;75904;68
asyoulik.txt;56915;5615663;122897;125179;75904;68
asyoulik.txt;52420;5474029;124540;125179;75904;68
asyoulik.txt;65914;6960682;132087;125179;75904;68
asyoulik.txt;101171;11478784;200077;125179;75904;68
asyoulik.txt;63520;5792997;131433;125179;75904;68
asyoulik.txt;57000;5684380;132216;125179;75904;68
asyoulik.txt;71338;5478401;132551;125179;75904;68
asyoulik.txt;96755;6610003;200967;125179;75904;68
asyoulik.txt;57213;5675001;130791;125179;75904;68
asyoulik.txt;64806;5861923;133897;125179;75904;68
asyoulik.txt;52496;5864730;122706;125179;75904;68
asyoulik.txt;53086;5931834;136618;125179;75904;68
asyoulik.txt;119865;6791735;204919;125179;75904;68
asyoulik.txt;55080;5825000;121881;125179;75904;68
asyoulik.txt;52545;5586854;122307;125179;75904;68
asyoulik.txt;86890;5917328;122295;125179;75904;68
asyoulik.txt;97310;8027501;202553;125179;75904;68
asyoulik.txt;61260;6253013;131714;125179;75904;68
bible.txt;55893;193505446;4405774;4047392;2218541;63
bible.txt;45174;166923079;3947195;4047392;2218541;63
bible.txt;49332;192508846;5849395;4047392;2218541;63
bible.txt;50442;173091522;3961134;4047392;2218541;63
bible.txt;44611;170465687;5178993;4047392;2218541;63
bible.txt;42448;185887944;4420502;4047392;2218541;63
bible.txt;46009;778724834;4163784;4047392;2218541;63
bible.txt;51800;188905543;4033852;4047392;2218541;63
bible.txt;48803;175638615;5976008;4047392;2218541;63
bible.txt;159476;216009520;4528611;4047392;2218541;63
bible.txt;82480;178894420;4469353;4047392;2218541;63
bible.txt;44822;171224127;5140706;4047392;2218541;63
bible.txt;44440;185545499;4203610;4047392;2218541;63
bible.txt;52216;191681200;4155503;4047392;2218541;63
bible.txt;46017;173292562;4157076;4047392;2218541;63
bible.txt;58114;189638072;4936716;4047392;2218541;63
bible.txt;48366;184687028;3928720;4047392;2218541;63
bible.txt;58272;178911140;4879664;4047392;2218541;63
bible.txt;45573;178015279;4606685;4047392;2218541;63
bible.txt;56698;171537769;5118023;4047392;2218541;63
cp.html;66916;1720604;35316;24603;16321;86
cp.html;46542;1241075;25552;24603;16321;86
cp.html;90515;1804130;42043;24603;16321;86
cp.html;63590;1355694;34364;24603;16321;86
cp.html;83897;1805357;40396;24603;16321;86
cp.html;50985;1113331;25765;24603;16321;86
