File;Header parsing;Decoding
1024px-Huffman_coding_visualisation.bmp.tiiv;2427783;118551421
1024px-Huffman_coding_visualisation.bmp.tiiv;423573;91718282
1024px-Huffman_coding_visualisation.bmp.tiiv;154170;85104598
1024px-Huffman_coding_visualisation.bmp.tiiv;123968;74373949
1024px-Huffman_coding_visualisation.bmp.tiiv;117438;32419404
1024px-Huffman_coding_visualisation.bmp.tiiv;137923;29453610
1024px-Huffman_coding_visualisation.bmp.tiiv;119022;28638432
1024px-Huffman_coding_visualisation.bmp.tiiv;161795;30840776
1024px-Huffman_coding_visualisation.bmp.tiiv;161588;29667270
1024px-Huffman_coding_visualisation.bmp.tiiv;94939;32120614
1024px-Huffman_coding_visualisation.bmp.tiiv;95647;31202582
1024px-Huffman_coding_visualisation.bmp.tiiv;102938;36957964
1024px-Huffman_coding_visualisation.bmp.tiiv;180198;31643344
1024px-Huffman_coding_visualisation.bmp.tiiv;95412;30158483
1024px-Huffman_coding_visualisation.bmp.tiiv;96067;44222100
1024px-Huffman_coding_visualisation.bmp.tiiv;102538;36246222
1024px-Huffman_coding_visualisation.bmp.tiiv;109638;33408346
1024px-Huffman_coding_visualisation.bmp.tiiv;161705;36344531
1024px-Huffman_coding_visualisation.bmp.tiiv;101113;31545212
1024px-Huffman_coding_visualisation.bmp.tiiv;94088;31059493
1280px-Huffman_coding_visualisation.bmp.tiiv;135158;45672812
1280px-Huffman_coding_visualisation.bmp.tiiv;120340;46346480
1280px-Huffman_coding_visualisation.bmp.tiiv;121349;45691169
1280px-Huffman_coding_visualisation.bmp.tiiv;129294;42610663
1280px-Huffman_coding_visualisation.bmp.tiiv;120284;43915649
1280px-Huffman_coding_visualisation.bmp.tiiv;313810;54202518
1280px-Huffman_coding_visualisation.bmp.tiiv;139487;42505714
1280px-Huffman_coding_visualisation.bmp.tiiv;120598;59331114
1280px-Huffman_coding_visualisation.bmp.tiiv;120723;44857077
1280px-Huffman_coding_visualisation.bmp.tiiv;121697;43210931
1280px-Huffman_coding_visualisation.bmp.tiiv;122433;42385989
1280px-Huffman_coding_visualisation.bmp.tiiv;152754;60733213
