File;Huffman Encoding Calculation;Encoding;Counting Characters;File size before;File size after;Distinct characters
1024px-Huffman_coding_visualisation.bmp;4183040;40023554;13690732;2359418;383796;251
1024px-Huffman_coding_visualisation.bmp;826420;38520514;13476598;2359418;383796;251
1024px-Huffman_coding_visualisation.bmp;192260;21529348;5963558;2359418;383796;251
1024px-Huffman_coding_visualisation.bmp;166462;18535913;5943918;2359418;383796;251
1024px-Huffman_coding_visualisation.bmp;168723;20274191;5124982;2359418;383796;251
1024px-Huffman_coding_visualisation.bmp;167135;22823610;5099575;2359418;383796;251
1024px-Huffman_coding_visualisation.bmp;167975;21807564;5351107;2359418;383796;251
1024px-Huffman_coding_visualisation.bmp;166911;18521221;5041092;2359418;383796;251
1024px-Huffman_coding_visualisation.bmp;228200;18790754;5615752;2359418;383796;251
1024px-Huffman_coding_visualisation.bmp;167049;21374489;5097867;2359418;383796;251
1024px-Huffman_coding_visualisation.bmp;171248;23259788;5094687;2359418;383796;251
1024px-Huffman_coding_visualisation.bmp;285480;20556996;5211901;2359418;383796;251
1024px-Huffman_coding_visualisation.bmp;261342;26027238;6101308;2359418;383796;251
1024px-Huffman_coding_visualisation.bmp;170316;19034172;5576205;2359418;383796;251
1024px-Huffman_coding_visualisation.bmp;228032;19691791;6488291;2359418;383796;251
1024px-Huffman_coding_visualisation.bmp;122239;22861017;5217901;2359418;383796;251
1024px-Huffman_coding_visualisation.bmp;131635;19249137;5053135;2359418;383796;251
1024px-Huffman_coding_visualisation.bmp;224407;36453807;5902876;2359418;383796;251
1024px-Huffman_coding_visualisation.bmp;131205;20766837;5083879;2359418;383796;251
1024px-Huffman_coding_visualisation.bmp;122765;20337205;5622473;2359418;383796;251
1280px-Huffman_coding_visualisation.bmp;132956;33931918;8057104;3686522;575383;256
1280px-Huffman_coding_visualisation.bmp;212207;36845501;12614291;3686522;575383;256
1280px-Huffman_coding_visualisation.bmp;162285;37877822;10045852;3686522;575383;256
1280px-Huffman_coding_visualisation.bmp;140466;29274354;8314016;3686522;575383;256
1280px-Huffman_coding_visualisation.bmp;133860;28462621;8205372;3686522;575383;256
1280px-Huffman_coding_visualisation.bmp;126201;34217869;8120612;3686522;575383;256
1280px-Huffman_coding_visualisation.bmp;130063;27550245;8136200;3686522;575383;256
1280px-Huffman_coding_visualisation.bmp;131545;27458201;8139798;3686522;575383;256
1280px-Huffman_coding_visualisation.bmp;134725;29708989;8287312;3686522;575383;256
1280px-Huffman_coding_visualisation.bmp;124618;27444680;9116402;3686522;575383;256
1280px-Huffman_coding_visualisation.bmp;133687;34356928;8280423;3686522;575383;256
1280px-Huffman_coding_visualisation.bmp;124447;28797556;8011534;3686522;575383;256
1280px-Huffman_coding_visualisation.bmp;134119;29113243;8272864;3686522;575383;256
1280px-Huffman_coding_visualisation.bmp;143191;28621928;8135030;3686522;575383;256
1280px-Huffman_coding_visualisation.bmp;133583;29147901;7993146;3686522;575383;256
1280px-Huffman_coding_visualisation.bmp;126099;29743807;8114047;3686522;575383;256
1280px-Huffman_coding_visualisation.bmp;133834;29457954;8143175;3686522;575383;256
1280px-Huffman_coding_visualisation.bmp;340927;31938311;9676935;3686522;575383;256
1280px-Huffman_coding_visualisation.bmp;295697;29707439;8638765;3686522;575383;256
1280px-Huffman_coding_visualisation.bmp;127824;31539473;8175080;3686522;575383;256
320px-Huffman_coding_visualisation.bmp;146608;2689687;685411;230522;44510;212
320px-Huffman_coding_visualisation.bmp;109652;2387537;519833;230522;44510;212
320px-Huffman_coding_visualisation.bmp;106175;2292991;484689;230522;44510;212
320px-Huffman_coding_visualisation.bmp;102439;2292662;482648;230522;44510;212
320px-Huffman_coding_visualisation.bmp;106781;2289659;481636;230522;44510;212
320px-Huffman_coding_visualisation.bmp;103795;2295430;483092;230522;44510;212
320px-Huffman_coding_visualisation.bmp;106700;2295969;480842;230522;44510;212
320px-Huffman_coding_visualisation.bmp;102165;2294676;483847;230522;44510;212
320px-Huffman_coding_visualisation.bmp;107023;2296167;481815;230522;44510;212
320px-Huffman_coding_visualisation.bmp;102475;2370047;495690;230522;44510;212
